cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
9220,"-34.37662152849474,-55.244018002185456",16220,"-34.338333026427584,-56.71343246500763",922016220,151067
9220,"-34.37662152849474,-55.244018002185456",17220,"-33.255057139215,-58.03061475685623",922017220,346474
9220,"-34.37662152849474,-55.244018002185456",18220,"-31.71656576589131,-55.98227865899393",922018220,373459
9220,"-34.37662152849474,-55.244018002185456",19220,"-33.23222966487474,-54.38252254973986",922019220,166541
10320,"-34.8972187652653,-54.94737237904476",1020,"-34.83459368462574,-56.200727322283996",103201020,128485
10320,"-34.8972187652653,-54.94737237904476",2220,"-30.42583821419782,-56.48691836714405",103202220,640067
10320,"-34.8972187652653,-54.94737237904476",3320,"-34.5248820942228,-56.28134757794109",103203320,145931
10320,"-34.8972187652653,-54.94737237904476",4220,"-32.366965911958815,-54.16797657500114",103204220,321815
10320,"-34.8972187652653,-54.94737237904476",5320,"-34.45055037560706,-57.838919942012616",103205320,300879
10320,"-34.8972187652653,-54.94737237904476",6220,"-33.38250225260489,-56.5226838660229",103206220,251411
10320,"-34.8972187652653,-54.94737237904476",7320,"-33.5214825688165,-56.89958042575091",103207320,273736
10320,"-34.8972187652653,-54.94737237904476",8220,"-34.10300406870569,-56.22187817478847",103208220,163775
10320,"-34.8972187652653,-54.94737237904476",9220,"-34.37662152849474,-55.244018002185456",103209220,71410
10320,"-34.8972187652653,-54.94737237904476",11120,"-32.318768140700776,-58.07902159500193",1032011120,456525
10320,"-34.8972187652653,-54.94737237904476",12320,"-33.12672715408673,-58.29894536750416",1032012320,412879
10320,"-34.8972187652653,-54.94737237904476",13220,"-30.91647986120184,-55.569795769247854",1032013220,550055
10320,"-34.8972187652653,-54.94737237904476",14320,"-34.47922798203669,-54.326604990723666",1032014320,86807
10320,"-34.8972187652653,-54.94737237904476",15120,"-31.39099520425074,-57.938559131114474",1032015120,568544
10320,"-34.8972187652653,-54.94737237904476",16220,"-34.338333026427584,-56.71343246500763",1032016220,193262
10320,"-34.8972187652653,-54.94737237904476",17220,"-33.255057139215,-58.03061475685623",1032017220,381725
10320,"-34.8972187652653,-54.94737237904476",18220,"-31.71656576589131,-55.98227865899393",1032018220,444862
10320,"-34.8972187652653,-54.94737237904476",19220,"-33.23222966487474,-54.38252254973986",1032019220,210564
11120,"-32.318768140700776,-58.07902159500193",1020,"-34.83459368462574,-56.200727322283996",111201020,360409
