cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
1511,15,SALTO,11,PAYSANDU,564,25542275,124861,26828524,113107,121842,17.104976207843436,11.710480402404773
1611,16,SAN JOSE,11,PAYSANDU,59,26930981,108304,26828524,113107,306476,17.104976207843436,12.632894727866756
1711,17,SORIANO,11,PAYSANDU,181,22993631,82594,26828524,113107,145587,17.104976207843436,11.888529125044231
1811,18,TACUAREMBO,11,PAYSANDU,261,18093592,90051,26828524,113107,240569,17.104976207843436,12.390762229666265
1911,19,TREINTA Y TRES,11,PAYSANDU,16,11720592,48134,26828524,113107,454655,17.104976207843436,13.027294168564168
112,1,MONTEVIDEO,12,RIO NEGRO,886,465848031,1318755,24297744,54765,314776,17.00589406449475,12.659616553737225
212,2,ARTIGAS,12,RIO NEGRO,57,14214980,73377,24297744,54765,380391,17.00589406449475,12.848954950067492
312,3,CANELONES,12,RIO NEGRO,154,86306492,520173,24297744,54765,313044,17.00589406449475,12.654099034722412
412,4,CERRO LARGO,12,RIO NEGRO,41,17048887,84698,24297744,54765,486397,17.00589406449475,13.094780441851915
512,5,COLONIA,12,RIO NEGRO,88,43788749,123203,24297744,54765,173119,17.00589406449475,12.06173449828346
612,6,DURAZNO,12,RIO NEGRO,62,13023942,57084,24297744,54765,235433,17.00589406449475,12.369181650898934
712,7,FLORES,12,RIO NEGRO,36,7284124,25050,24297744,54765,166083,17.00589406449475,12.020242942380332
812,8,FLORIDA,12,RIO NEGRO,30,17767290,67047,24297744,54765,290364,17.00589406449475,12.578890587306093
912,9,LAVALLEJA,12,RIO NEGRO,11,15594153,58815,24297744,54765,401227,17.00589406449475,12.902282630911184
1012,10,MALDONADO,12,RIO NEGRO,95,51311595,164298,24297744,54765,423946,17.00589406449475,12.957361367612748
1112,11,PAYSANDU,12,RIO NEGRO,640,26828524,113107,24297744,54765,78652,17.00589406449475,11.272788337279447
1312,13,RIVERA,12,RIO NEGRO,36,20212707,103473,24297744,54765,382195,17.00589406449475,12.853686228546799
1412,14,ROCHA,12,RIO NEGRO,30,17547856,68088,24297744,54765,515282,17.00589406449475,13.152469602598117
1512,15,SALTO,12,RIO NEGRO,161,25542275,124861,24297744,54765,197616,17.00589406449475,12.194081032677795
1612,16,SAN JOSE,12,RIO NEGRO,55,26930981,108304,24297744,54765,255902,17.00589406449475,12.45254983767029
1712,17,SORIANO,12,RIO NEGRO,372,22993631,82594,24297744,54765,67704,17.00589406449475,11.122900541349942
1812,18,TACUAREMBO,12,RIO NEGRO,134,18093592,90051,24297744,54765,282223,17.00589406449475,12.550452817560215
1912,19,TREINTA Y TRES,12,RIO NEGRO,16,11720592,48134,24297744,54765,443288,17.00589406449475,13.001974950662264
113,1,MONTEVIDEO,13,RIVERA,1665,465848031,1318755,20212707,103473,496031,16.821822024002444,13.11439370375402
213,2,ARTIGAS,13,RIVERA,146,14214980,73377,20212707,103473,165817,16.821822024002444,12.018640049599663
313,3,CANELONES,13,RIVERA,320,86306492,520173,20212707,103473,487220,16.821822024002444,13.09647104543838
413,4,CERRO LARGO,13,RIVERA,145,17048887,84698,20212707,103473,240871,16.821822024002444,12.392016799455277
513,5,COLONIA,13,RIVERA,34,43788749,123203,20212707,103473,484613,16.821822024002444,13.091105913253198
613,6,DURAZNO,13,RIVERA,42,13023942,57084,20212707,103473,336484,16.821822024002444,12.726305878645231
713,7,FLORES,13,RIVERA,10,7284124,25050,20212707,103473,359348,16.821822024002444,12.792046557276537
813,8,FLORIDA,13,RIVERA,46,17767290,67047,20212707,103473,419126,16.821822024002444,12.945926869688737
913,9,LAVALLEJA,13,RIVERA,25,15594153,58815,20212707,103473,464972,16.821822024002444,13.04973246770273
1013,10,MALDONADO,13,RIVERA,117,51311595,164298,20212707,103473,533797,16.821822024002444,13.18777089585434
1113,11,PAYSANDU,13,RIVERA,66,26828524,113107,20212707,103473,340541,16.821822024002444,12.73829080848292
1213,12,RIO NEGRO,13,RIVERA,54,24297744,54765,20212707,103473,382195,16.821822024002444,12.853686228546799
1413,14,ROCHA,13,RIVERA,17,17547856,68088,20212707,103473,466323,16.821822024002444,13.052633806049226
1513,15,SALTO,13,RIVERA,97,25542275,124861,20212707,103473,286873,16.821822024002444,12.566794888095085
1613,16,SAN JOSE,13,RIVERA,32,26930981,108304,20212707,103473,459885,16.821822024002444,13.03873173721007
1713,17,SORIANO,13,RIVERA,18,22993631,82594,20212707,103473,446333,16.821822024002444,13.008820589178931
1813,18,TACUAREMBO,13,RIVERA,421,18093592,90051,20212707,103473,145310,16.821822024002444,11.886624670314742
1913,19,TREINTA Y TRES,13,RIVERA,23,11720592,48134,20212707,103473,324423,16.821822024002444,12.689803498833404
114,1,MONTEVIDEO,14,ROCHA,1266,465848031,1318755,17547856,68088,252064,16.680442335171204,12.43743830250305
214,2,ARTIGAS,14,ROCHA,47,14214980,73377,17547856,68088,623189,16.680442335171204,13.342605122548495
314,3,CANELONES,14,ROCHA,360,86306492,520173,17547856,68088,232423,16.680442335171204,12.356314266360716
414,4,CERRO LARGO,14,ROCHA,95,17048887,84698,17547856,68088,254936,16.680442335171204,12.448767812247556
514,5,COLONIA,14,ROCHA,35,43788749,123203,17547856,68088,398583,16.680442335171204,12.895671036578872
614,6,DURAZNO,14,ROCHA,61,13023942,57084,17547856,68088,299700,16.680442335171204,12.610537253304754
